City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
238,Lhokseumawe,ID,2022-01-24 15:46:10,5.1801,97.1507,76.98,86,89,5.39
239,Nabire,ID,2022-01-24 15:46:10,-3.3667,135.4833,77.05,92,100,3.74
240,Eyl,SO,2022-01-24 15:46:11,7.9803,49.8164,75.2,66,4,22.08
241,Kushiro,JP,2022-01-24 15:46:11,42.975,144.3747,16.14,82,67,5.91
242,Atar,MR,2022-01-24 15:46:12,20.5169,-13.0499,89.65,10,100,6.91
243,Owando,CG,2022-01-24 15:46:12,-0.4819,15.8999,92.61,34,74,1.79
244,Tiksi,RU,2022-01-24 15:46:13,71.6872,128.8694,-10.43,98,100,3.24
245,Vila Do Maio,CV,2022-01-24 15:46:13,15.1333,-23.2167,81.39,74,66,8.63
246,Galle,LK,2022-01-24 15:46:13,6.0367,80.217,76.57,78,35,2.64
247,Goderich,CA,2022-01-24 15:45:25,43.7501,-81.7165,16.92,92,100,20.07
248,Cuauhtemoc,MX,2022-01-24 15:46:14,28.4167,-106.8667,27.72,54,3,9.64
249,Kodiak,US,2022-01-24 15:44:34,57.79,-152.4072,42.31,81,100,12.66
250,Bud,US,2022-01-24 15:46:14,39.447,-86.1758,33.69,69,100,15.3
251,Mount Gambier,AU,2022-01-24 15:46:15,-37.8333,140.7667,64.31,77,100,6.91
252,Skelleftea,SE,2022-01-24 15:46:15,64.7507,20.9528,37.0,51,0,4.0
253,Berlevag,NO,2022-01-24 15:46:16,70.8578,29.0864,26.55,93,100,37.98
254,Porbandar,IN,2022-01-24 15:42:29,21.6422,69.6093,65.93,40,0,9.26
255,Cockburn Town,TC,2022-01-24 15:46:16,21.4612,-71.1419,80.56,65,20,6.91
256,Duluth,US,2022-01-24 15:43:00,46.7833,-92.1066,4.41,68,0,1.01
257,Mawlaik,MM,2022-01-24 15:46:17,23.6333,94.4167,60.62,84,100,2.98
258,Garden City,US,2022-01-24 15:45:05,42.3256,-83.331,19.81,83,100,1.99
259,Teguldet,RU,2022-01-24 15:46:18,57.3064,88.1667,2.21,98,100,4.92
260,Namibe,AO,2022-01-24 15:46:18,-15.1961,12.1522,78.37,79,25,12.5
261,Lishu,CN,2022-01-24 15:46:19,43.3047,124.3278,13.06,66,14,2.66
262,Nouadhibou,MR,2022-01-24 15:46:19,20.931,-17.0347,75.18,64,20,10.36
263,Muskogee,US,2022-01-24 15:46:19,35.5834,-95.3336,48.45,72,0,6.91
264,Aragats,AM,2022-01-24 15:46:20,40.4889,44.3528,17.17,93,95,2.17
265,Sept-Iles,CA,2022-01-24 15:45:38,50.2001,-66.3821,2.05,68,20,1.99
266,Country Club,US,2022-01-24 15:43:16,25.9482,-80.317,56.01,66,0,11.5
267,Tuatapere,NZ,2022-01-24 15:46:20,-46.1333,167.6833,45.37,94,85,2.62
268,Shimoda,JP,2022-01-24 15:46:21,34.6667,138.95,40.1,65,100,9.71
269,Denpasar,ID,2022-01-24 15:42:31,-8.65,115.2167,83.86,74,40,14.97
270,Sechura,PE,2022-01-24 15:46:21,-5.5569,-80.8222,80.46,59,93,9.71
271,Bijar,IR,2022-01-24 15:46:22,35.8668,47.6051,11.93,86,4,4.56
272,Richards Bay,ZA,2022-01-24 15:46:22,-28.783,32.0377,78.6,69,9,15.26
273,Katherine,AU,2022-01-24 15:46:23,-14.4667,132.2667,79.12,89,100,6.91
274,Tautira,PF,2022-01-24 15:46:24,-17.7333,-149.15,78.82,79,100,15.64
275,Jiwani,PK,2022-01-24 15:46:24,25.05,61.7417,67.96,29,0,6.2
276,Nishihara,JP,2022-01-24 15:46:24,26.1842,127.7558,65.48,83,75,10.36
277,San Quintin,MX,2022-01-24 15:46:25,30.4833,-115.95,59.86,55,0,4.03
278,Kavaratti,IN,2022-01-24 15:47:25,10.5669,72.642,79.34,60,100,12.97
279,Nuuk,GL,2022-01-24 15:47:26,64.1835,-51.7216,32.61,55,100,11.5
280,Opatija,HR,2022-01-24 15:47:26,45.3392,14.3083,46.18,70,35,5.28
281,Vadso,NO,2022-01-24 15:47:26,70.0744,29.7487,30.36,69,20,28.77
282,Sarakhs,IR,2022-01-24 15:47:27,36.5449,61.1577,42.94,56,2,4.61
283,Acarau,BR,2022-01-24 15:47:27,-2.8856,-40.12,88.05,53,78,14.32
284,Adrar,MR,2022-01-24 15:47:28,20.5022,-10.0711,82.45,12,97,12.93
285,Waipawa,NZ,2022-01-24 15:47:28,-41.4122,175.5153,63.45,94,68,4.54
286,Hornepayne,CA,2022-01-24 15:47:28,49.2138,-84.7705,-5.8,91,88,5.46
287,Alta,NO,2022-01-24 15:47:29,69.9689,23.2717,29.44,77,40,12.66
288,Sai Buri,TH,2022-01-24 15:47:29,6.7013,101.6168,75.79,81,88,4.61
